TransactionID,CustomerID,ProductID,TransactionDate,Quantity,TotalAmount,StoreLocation
T1001,C552,P01,01-15-26,2,45,Dallas
T1002,C101,P05,01-16-26,1,120.5,Austin
T1003,,P03,02-17-26,3,,Houston
T1004,C882,P02,01-18-26,1,15.75,dallas
T1005,C331,P01,01-19-26,2,45,DALLAS
T1006,C442,P04,01-20-26,10,500,Remote
T1007,C552,P01,01-15-26,2,45,Dallas
T1008,C991,P08,???,2,60,Fort Worth
T1009,C221,P02,01-22-26,-1,-15.75,Austin
T1010,C773,P05,01-23-26,1,120.5,Houston
T1011,C101,P03,24-01-2026,2,30,Remote
T1012,,P01,01-25-26,1,22.5,dallas
T1013,C552,P04,01-26-26,5,250,Houston
T1014,C882,P01,01-27-26,0,0,Austin
T1015,C331,P05,01-28-26,1,NULL,Dallas
T1016,C442,P02,01-29-26,2,31.5,Remote
T1017,C991,P03,01-30-26,1,15,Houston
T1018,C221,P01,01-31-26,3,67.5,Austin
T1019,C773,P04,02-01-26,2,100,Dallas
T1020,C101,P02,02-02-26,1,15.75,Fort Worth
T1021,C552,P05,02-03-26,2,241,Austin
T1022,C882,P03,02-04-26,4,60,Remote
T1023,C331,P01,02-05-26,1,22.5,Dallas
T1024,C442,P04,02-06-26,1,50,Houston
T1025,C991,P02,02-07-26,2,31.5,dallas
T1026,C221,P05,02-08-26,1,120.5,Austin
T1027,C773,P01,02-09-26,5,112.5,Remote
T1028,C101,P03,02-10-26,2,30,Houston
T1029,C552,P02,02-11-26,1,15.75,Dallas
T1030,C882,P04,02-12-26,3,150,Austin
T1031,C331,P01,02-13-26,2,45,Fort Worth
T1032,C442,P05,02-14-26,1,120.5,Remote
T1033,C991,P03,02-15-26,1,15,Houston
T1034,C221,P02,02-16-26,1,15.75,Dallas
T1035,C773,P01,02-17-26,4,90,Austin
T1036,C101,P04,02-18-26,2,100,Remote
T1037,C552,P02,02-19-26,3,47.25,Houston
T1038,C882,P05,02-20-26,1,120.5,Dallas
T1039,C331,P03,02-21-26,2,30,Austin
T1040,C442,P01,02-22-26,1,22.5,Remote
T1041,C991,P04,02-23-26,5,250,Houston
T1042,C221,P02,02-24-26,1,15.75,Dallas
T1043,C773,P05,02-25-26,2,241,Austin
T1044,C101,P03,02-26-26,1,15,Remote
T1045,C552,P01,02-27-26,3,67.5,Houston
T1046,C882,P04,02-28-26,1,50,Dallas
T1047,C331,P02,03-01-26,2,31.5,Austin
T1048,C442,P05,03-02-26,1,120.5,Remote
T1049,C991,P03,03-03-26,1,15,Houston
T1050,C221,P01,03-04-26,2,45,Dallas
T1051,C101,P01,01-15-26,2,45,Dallas
T1052,C101,P05,01-16-26,1,120.5,Austin
T1053,,P03,02-17-26,3,,Houston
T1054,C882,P02,01-18-26,1,15.75,dallas
T1055,C331,P01,01-19-26,2,45,DALLAS
T1056,C442,P04,01-20-26,10,500,Remote
T1057,C552,P01,01-15-26,2,45,Dallas
T1058,C991,P08,???,2,60,Fort Worth
T1059,C221,P02,01-22-26,-1,-15.75,Austin
T1060,C773,P05,01-23-26,1,120.5,Houston
T1061,C101,P03,24-01-2026,2,30,Remote
T1062,,P01,01-25-26,1,22.5,dallas
T1063,C552,P04,01-26-26,5,250,Houston
T1064,C882,P01,01-27-26,0,0,Austin
T1065,C331,P05,01-28-26,1,NULL,Dallas
T1066,C442,P02,01-29-26,2,31.5,Remote
T1067,C991,P03,01-30-26,1,15,Houston
T1068,C221,P01,01-31-26,3,67.5,Austin
T1069,C773,P04,02-01-26,2,100,Dallas
T1070,C101,P02,02-02-26,1,15.75,Fort Worth
T1071,C552,P05,02-03-26,2,241,Austin
T1072,C882,P03,02-04-26,4,60,Remote
T1073,C331,P01,02-05-26,1,22.5,Dallas
T1074,C442,P04,02-06-26,1,50,Houston
T1075,C991,P02,02-07-26,2,31.5,dallas
T1076,C221,P05,02-08-26,1,120.5,Austin
T1077,C773,P01,02-09-26,5,112.5,Remote
T1078,C101,P03,02-10-26,2,30,Houston
T1079,C552,P02,02-11-26,1,15.75,Dallas
T1080,C882,P04,02-12-26,3,150,Austin
T1081,C331,P01,02-13-26,2,45,Fort Worth
T1082,C442,P05,02-14-26,1,120.5,Remote
T1083,C991,P03,02-15-26,1,15,Houston
T1084,C221,P02,02-16-26,1,15.75,Dallas
T1085,C773,P01,02-17-26,4,90,Austin
T1086,C101,P04,02-18-26,2,100,Remote
T1087,C552,P02,02-19-26,3,47.25,Houston
T1088,C882,P05,02-20-26,1,120.5,Dallas
T1089,C331,P03,02-21-26,2,30,Austin
T1090,C442,P01,02-22-26,1,22.5,Remote
T1091,C991,P04,02-23-26,5,250,Houston
T1092,C221,P02,02-24-26,1,15.75,Dallas
T1093,C773,P05,02-25-26,2,241,Austin
T1094,C101,P03,02-26-26,1,15,Remote
T1095,C552,P01,02-27-26,3,67.5,Houston
T1096,C882,P04,02-28-26,1,50,Dallas
T1097,C331,P02,03-01-26,2,31.5,Austin
T1098,C442,P05,03-02-26,1,120.5,Remote
T1099,C991,P03,03-03-26,1,15,Houston
T1100,C221,P01,03-04-26,2,45,Dallas
